img,x1,y1,x2,y2,category
1433,158,34,560,385,15
1434,42,78,632,430,15
1435,0,0,340,228,15
1436,30,0,616,480,15
1437,60,0,572,444,15
1438,0,4,480,640,15
1439,81,56,569,460,15
1440,76,12,557,425,15
1441,0,0,500,375,15
1442,0,0,712,555,15
1443,56,76,597,466,15
1444,44,0,274,238,15
1445,91,0,354,300,15
1446,32,15,466,320,15
1447,0,0,640,444,15
1448,20,42,620,370,15
1449,0,0,424,332,15
1450,26,161,283,399,15
1451,15,9,207,199,15
1452,0,0,375,500,15
1453,2,30,310,212,15
1454,4,38,640,396,15
1455,9,8,358,260,15
1456,56,28,568,456,15
1457,0,0,400,300,15
1458,0,0,300,400,15
1459,0,32,240,218,15
1460,0,13,285,190,15
1461,66,44,504,361,15
1462,67,0,538,447,15
1463,49,97,231,257,15
1464,72,32,398,307,15
1465,21,31,356,463,15
1466,0,0,480,360,15
1467,23,13,442,360,15
1468,0,0,316,240,15
1469,0,0,230,301,15
1470,0,24,427,218,15
1471,0,0,454,319,15
1472,0,0,320,220,15
1473,0,0,640,418,15
1474,0,0,400,300,15
1475,28,15,213,163,15
1476,6,12,142,129,15
1477,32,42,304,180,15
1478,0,0,400,300,15
1479,0,4,400,300,15
1480,21,18,567,406,15
1481,65,0,440,375,15
1482,0,6,298,302,15
1483,49,16,319,430,15
1484,0,30,400,291,15
1485,102,196,251,362,15
1486,0,0,360,270,15
1487,42,15,296,204,15
1488,0,0,410,303,15
1489,0,44,219,281,15
1490,20,28,226,274,15
1491,27,35,362,231,15
1492,0,41,300,328,15
1493,39,46,373,226,15
1494,24,0,320,240,15
1495,0,10,214,296,15
1496,21,0,294,222,15
1497,47,36,299,231,15
9288,39,57,426,294,15
9289,34,57,424,295,15
9304,75,37,370,322,15
3993,18,14,176,148,41
3994,168,45,404,320,41
3995,17,44,126,137,41
3996,190,93,284,153,41
3997,216,70,320,178,41
3998,26,15,259,168,41
3999,45,22,144,125,41
4000,72,64,213,168,41
4001,42,80,579,420,41
4002,33,18,249,181,41
4003,0,2,298,226,41
4004,55,2,91,49,41
4005,58,36,302,240,41
4006,188,106,781,502,41
4007,47,25,226,176,41
4008,136,18,320,240,41
4009,36,11,149,113,41
4010,40,7,272,169,41
4011,25,113,115,210,41
4012,70,11,343,251,41
4013,30,24,248,206,41
4014,61,20,302,195,41
4015,120,42,549,430,41
4016,18,182,640,480,41
4017,0,50,240,264,41
4018,0,90,144,396,41
4019,125,24,222,88,41
4020,63,36,190,135,41
4021,14,20,232,172,41
4022,0,25,105,111,41
4023,217,60,395,162,41
4024,143,17,322,130,41
4025,60,15,249,154,41
4026,8,38,155,213,41
4027,36,0,616,480,41
4028,5,84,322,280,41
4029,416,46,624,172,41
4030,0,31,380,212,41
4031,9,18,140,92,41
4032,0,0,120,93,41
4033,0,19,102,120,41
4034,236,20,528,266,41
4035,67,140,337,272,41
4036,12,42,509,358,41
4037,67,21,118,67,41
4038,0,1,200,200,41
4039,0,42,100,133,41
4040,59,0,196,73,41
4041,20,12,296,204,41
4042,0,0,80,81,41
4043,110,65,280,202,41
4044,54,8,121,79,41
4045,0,19,530,348,41
4046,28,15,203,117,41
4047,17,25,416,323,41
4048,74,47,362,268,41
4049,219,2,306,64,41
4050,46,42,286,182,41
4051,4,28,173,128,41
4052,77,139,224,262,41
4053,30,21,224,210,41
4054,250,130,400,257,41
4055,77,135,300,331,41
4056,103,33,420,259,41
4057,26,60,195,178,41
4058,0,30,120,120,41
4059,208,305,487,529,41
4060,90,158,469,428,41
4061,24,6,306,214,41
4062,0,42,136,176,41
4063,0,48,139,172,41
4064,56,0,381,320,41
4065,264,0,394,118,41
4066,42,25,158,122,41
4067,333,314,592,505,41
4068,17,276,274,454,41
4069,0,0,220,180,41
4070,151,43,263,206,41
4071,144,59,308,222,41
4072,26,52,312,240,41
4073,237,75,362,147,41
4074,50,33,239,210,41
4075,36,15,339,239,41
4076,50,56,195,160,41
4077,0,15,426,282,41
4078,0,0,480,480,41
4079,0,28,491,401,41
4080,49,15,189,136,41
4081,42,42,282,194,41
4082,39,23,144,118,41
4083,0,26,800,577,41
4084,17,136,752,558,41
4085,36,116,576,541,41
4086,41,104,557,619,41
4087,103,59,705,575,41
4088,86,62,677,466,41
4089,57,61,201,171,41
4090,195,137,600,527,41
4091,140,124,564,402,41
4092,124,58,704,539,41
14002,498,136,640,302,41
14902,56,199,236,359,41
14903,583,163,671,246,41
16722,1,2,515,367,41
16725,0,4,395,294,41
16739,58,17,379,320,41
16742,122,24,521,386,41
16745,35,4,399,332,41
16748,2,39,347,307,41
16768,18,5,335,250,41
16771,95,66,508,394,41
16772,38,13,545,409,41
16777,20,29,620,487,41
100,23,0,293,227,2
101,52,0,573,465,2
102,0,0,240,180,2
103,3,70,397,301,2
104,25,18,323,133,2
105,0,0,176,122,2
106,0,34,153,154,2
107,0,0,224,168,2
108,0,14,112,105,2
109,3,12,219,154,2
110,11,3,217,163,2
111,23,5,132,116,2
112,2,80,170,245,2
113,0,0,210,280,2
114,0,0,200,150,2
115,3,7,196,134,2
116,0,3,210,184,2
117,0,0,200,150,2
118,0,0,169,114,2
119,0,39,123,145,2
120,0,0,240,180,2
121,25,0,250,163,2
122,0,80,414,337,2
123,9,20,118,102,2
124,0,0,450,337,2
125,70,30,256,168,2
126,29,113,235,285,2
127,0,0,640,533,2
128,0,0,640,539,2
129,0,78,456,402,2
130,0,56,260,349,2
131,0,19,245,200,2
132,78,60,554,408,2
133,0,0,200,150,2
134,0,53,128,150,2
135,17,0,165,111,2
136,6,6,100,90,2
137,3,0,180,135,2
138,0,26,200,245,2
139,9,12,387,212,2
140,0,0,465,349,2
141,20,13,134,95,2
142,0,39,454,292,2
143,0,24,454,310,2
144,0,24,139,130,2
145,16,38,634,416,2
146,5,41,200,158,2
147,47,34,135,98,2
148,0,0,177,131,2
149,43,20,374,302,2
150,0,32,293,285,2
151,45,37,379,308,2
152,25,51,244,228,2
153,0,31,304,222,2
154,0,19,304,215,2
155,33,44,453,394,2
156,158,209,760,545,2
157,40,58,307,272,2
158,22,51,342,309,2
159,45,45,349,299,2
160,0,54,460,387,2
161,0,0,210,158,2
162,0,8,213,148,2
163,0,8,214,154,2
164,6,17,210,158,2
165,9,28,450,299,2
166,0,14,567,425,2
167,0,25,106,115,2
168,0,30,165,165,2
169,6,11,210,142,2
170,0,73,396,360,2
171,0,6,398,300,2
172,4,4,261,185,2
173,5,3,203,150,2
174,21,6,208,162,2
175,0,23,249,200,2
176,0,0,201,148,2
177,0,0,640,480,2
178,0,31,185,176,2
179,0,27,336,252,2
180,0,0,308,178,2
181,0,159,179,300,2
182,0,66,211,208,2
183,0,0,240,320,2
184,0,0,180,135,2
185,0,0,122,86,2
186,295,166,800,516,2
187,90,22,426,319,2
188,90,61,217,169,2
189,0,36,208,186,2
190,0,67,208,239,2
191,0,68,240,320,2
192,52,30,306,220,2
193,57,0,640,480,2
194,22,44,186,194,2
195,0,28,280,214,2
196,37,40,357,340,2
197,115,30,500,362,2
198,0,0,500,305,2
199,0,0,160,106,2
9050,112,14,422,590,2
9233,0,0,480,360,2
9326,52,30,414,351,2
9327,40,39,406,345,2
10578,73,1,324,422,2
10768,6,15,478,357,2
10897,6,96,354,448,2
10959,33,43,459,316,2
11078,60,22,420,330,2
11079,55,12,408,343,2
11258,67,49,399,349,2
11259,76,63,387,340,2
11298,26,33,424,355,2
11629,138,36,453,265,2
13726,252,190,560,352,2
13728,88,112,452,324,2
14632,278,86,756,446,2
15060,12,54,500,449,2
15093,28,27,598,396,2
15146,0,0,596,800,2
15245,42,0,585,352,2
15280,123,21,540,326,2
15320,231,25,512,265,2
15321,51,0,528,450,2
15444,35,55,353,583,2
15481,41,33,531,442,2
15650,27,152,258,312,2
15652,295,101,596,407,2
15852,57,16,573,336,2
16109,43,12,442,640,2
2993,35,15,378,287,31
2994,150,86,239,161,31
2995,194,36,558,274,31
2996,71,42,324,259,31
2997,88,6,605,380,31
2998,49,64,303,280,31
2999,444,100,584,212,31
3000,253,151,373,279,31
3001,187,36,352,156,31
3002,305,224,588,504,31
3003,27,48,385,246,31
3004,44,61,331,274,31
3005,241,166,494,313,31
3006,75,184,329,404,31
3007,282,198,519,393,31
3008,60,24,537,301,31
3009,0,138,186,320,31
3010,42,0,577,420,31
3011,46,32,783,430,31
3012,237,136,610,398,31
3013,19,70,183,227,31
3014,0,94,400,582,31
3015,201,70,436,296,31
3016,51,127,208,302,31
3017,0,122,381,476,31
3018,7,146,266,373,31
3019,12,172,342,480,31
3020,14,72,212,224,31
3021,0,0,348,249,31
3022,34,29,270,196,31
3023,0,0,280,200,31
3024,30,10,296,200,31
3025,23,15,330,247,31
3026,32,23,309,222,31
3027,3,56,288,316,31
3028,4,6,320,240,31
3029,262,150,480,360,31
3030,18,74,234,244,31
3031,30,9,420,304,31
3032,31,28,474,318,31
3033,0,0,314,232,31
3034,34,0,166,90,31
3035,22,18,316,216,31
3036,30,10,327,228,31
3037,208,135,412,301,31
3038,144,60,300,195,31
3039,190,118,343,235,31
3040,0,0,448,336,31
3041,0,124,154,320,31
3042,1,0,450,446,31
3043,2,80,616,480,31
3044,0,3,401,315,31
3045,7,9,279,207,31
3046,0,0,330,247,31
3047,18,84,197,257,31
3048,60,33,240,216,31
3049,0,0,250,188,31
3050,0,4,640,440,31
3051,29,22,230,157,31
3052,166,12,382,175,31
3053,0,17,364,308,31
3054,0,20,320,222,31
3055,0,0,512,448,31
3056,198,120,472,362,31
3057,26,18,145,110,31
3058,2,6,385,288,31
3059,61,58,340,199,31
3060,109,53,327,252,31
3061,418,86,569,308,31
3062,21,21,205,151,31
3063,102,57,302,257,31
3064,10,22,455,375,31
3065,77,45,423,295,31
3066,57,38,381,297,31
3067,0,0,377,300,31
3068,148,248,518,480,31
3069,36,24,408,337,31
3070,14,14,320,240,31
3071,179,122,400,300,31
3072,81,37,323,262,31
3073,38,36,360,270,31
3074,74,50,318,266,31
3075,173,34,719,586,31
3076,108,32,640,480,31
3077,48,19,259,181,31
3078,79,17,317,277,31
3079,98,12,266,172,31
3080,10,14,298,216,31
3081,226,103,761,539,31
3082,7,18,207,147,31
3083,14,10,471,349,31
3084,229,204,544,437,31
3085,153,15,297,150,31
3086,36,24,313,233,31
3087,0,37,512,362,31
3088,28,67,566,427,31
3089,309,30,480,201,31
3090,264,6,508,232,31
3091,0,0,240,338,31
3092,37,51,540,411,31
6936,0,103,280,370,31
11386,0,8,480,376,31
11956,34,161,179,318,31
12503,5,123,190,274,31
13705,436,41,580,140,31
13960,452,42,636,218,31
14006,90,0,184,81,31
14021,43,235,345,511,31
14069,393,225,731,556,31
14080,361,241,681,565,31
14086,340,168,786,503,31
14108,0,0,344,302,31
14152,216,4,468,212,31
15446,55,24,555,439,31
15521,182,0,497,256,31
15732,192,56,447,262,31
15803,162,10,431,272,31
15820,183,87,572,448,31
15930,265,107,587,450,31
16669,212,11,478,257,31
800,0,0,280,210,9
801,0,20,250,150,9
802,0,33,250,153,9
803,0,0,320,210,9
804,0,18,250,152,9
805,0,0,280,210,9
806,0,10,240,168,9
807,0,0,151,120,9
808,0,8,250,186,9
809,0,0,320,240,9
810,0,8,350,250,9
811,0,1,230,165,9
812,6,5,600,502,9
813,0,11,295,197,9
814,59,0,350,250,9
815,0,48,320,240,9
816,20,0,800,533,9
817,0,0,320,240,9
818,0,0,265,189,9
819,0,0,153,111,9
820,0,0,193,114,9
821,8,22,151,120,9
822,0,0,230,180,9
823,0,0,520,381,9
824,0,15,300,180,9
825,40,19,252,190,9
826,0,0,720,540,9
827,0,0,182,136,9
828,0,30,219,220,9
829,0,38,168,185,9
830,0,0,220,165,9
831,0,0,350,313,9
832,0,0,350,263,9
833,30,13,290,156,9
834,0,0,180,135,9
835,0,0,321,236,9
836,0,0,172,161,9
837,48,28,300,201,9
838,0,14,400,300,9
839,20,22,378,259,9
840,0,13,230,165,9
841,58,24,268,180,9
842,0,0,250,174,9
843,72,26,350,253,9
844,0,0,640,480,9
845,80,28,284,206,9
846,0,0,400,300,9
847,10,54,320,240,9
848,54,44,367,282,9
849,33,32,396,347,9
850,115,43,461,309,9
851,35,70,322,238,9
852,123,47,623,526,9
853,8,29,633,465,9
854,108,72,545,404,9
855,17,24,620,473,9
856,82,64,584,453,9
857,89,52,541,384,9
858,52,52,606,442,9
859,21,29,640,434,9
860,24,45,568,480,9
861,40,29,593,458,9
862,0,8,384,274,9
863,120,82,320,240,9
864,48,2,262,198,9
865,25,6,179,150,9
866,0,0,450,338,9
867,60,0,749,600,9
868,49,0,728,600,9
869,47,0,755,600,9
870,68,0,747,600,9
871,0,0,640,480,9
872,0,58,355,375,9
873,0,33,444,360,9
874,0,19,640,427,9
875,0,0,320,240,9
876,16,56,620,448,9
877,12,11,430,324,9
878,18,0,640,480,9
879,21,50,598,446,9
880,18,60,300,224,9
881,0,0,511,340,9
882,78,0,731,600,9
883,33,24,629,460,9
884,9,100,264,240,9
885,65,0,746,600,9
886,66,0,743,600,9
887,0,0,320,240,9
888,0,39,737,490,9
889,32,16,609,458,9
890,100,9,581,461,9
891,28,9,612,480,9
892,0,0,320,240,9
893,0,5,303,288,9
894,0,0,800,600,9
895,0,0,350,250,9
896,51,61,448,336,9
897,0,0,352,288,9
898,58,76,545,396,9
899,54,77,562,429,9
2460,74,96,217,210,9
5183,0,215,131,334,9
7186,296,196,720,461,9
9053,100,36,548,405,9
9054,73,24,545,418,9
9147,60,0,433,345,9
9179,108,48,426,279,9
9181,9,105,219,340,9
9184,33,105,346,336,9
9269,81,33,414,343,9
9273,6,70,288,447,9
9278,25,102,267,375,9
9280,9,136,253,357,9
9314,36,30,447,351,9
9337,48,78,381,327,9
10582,0,0,480,360,9
10678,0,0,480,360,9
10710,0,30,480,360,9
10784,0,46,267,421,9
10786,0,57,267,423,9
10821,0,0,480,360,9
11000,0,0,478,360,9
11044,46,43,478,348,9
11045,45,42,423,345,9
11065,33,6,469,360,9
11097,15,6,447,339,9
11113,39,39,420,360,9
11143,7,0,471,343,9
11145,3,0,468,349,9
11227,0,0,478,360,9
11238,55,25,462,333,9
11348,78,0,390,240,9
11426,70,36,357,360,9
11435,63,0,480,270,9
11454,21,106,271,375,9
11507,15,96,349,400,9
11596,0,118,360,410,9
11603,31,72,204,204,9
13630,76,153,656,496,9
13697,24,173,200,342,9
13712,12,171,224,362,9
13713,14,135,250,336,9
13720,336,193,534,384,9
13743,0,190,188,374,9
13816,168,40,317,196,9
13993,24,45,465,600,9
13997,192,400,396,600,9
14082,306,140,592,440,9
14226,17,0,196,155,9
14234,1,50,113,160,9
14593,28,126,208,301,9
14650,0,0,416,480,9
14725,0,71,144,193,9
14861,13,13,728,600,9
14898,131,260,378,531,9
14966,0,156,278,462,9
15425,333,104,633,357,9
15510,0,168,274,400,9
15518,248,27,600,367,9
15536,327,119,600,435,9
15601,97,119,380,347,9
15692,32,129,317,356,9
15847,11,2,295,237,9
15865,53,22,271,230,9
15878,6,29,445,345,9
16387,33,132,371,428,9
16617,17,98,268,297,9
16676,51,165,357,446,9
16693,1,130,293,404,9
900,0,0,180,140,10
901,0,19,198,182,10
902,0,18,400,300,10
903,43,25,193,168,10
904,0,0,247,183,10
905,21,12,228,174,10
906,11,0,374,240,10
907,0,0,195,180,10
908,16,0,198,166,10
909,28,0,211,157,10
910,19,0,216,165,10
911,0,3,160,120,10
912,0,0,201,200,10
913,105,61,450,338,10
914,45,0,253,210,10
915,33,42,314,276,10
916,0,0,389,300,10
917,3,46,256,192,10
918,24,24,249,225,10
919,0,26,312,263,10
920,27,35,227,182,10
921,10,8,147,106,10
922,12,33,151,123,10
923,49,0,640,480,10
924,17,18,148,120,10
925,0,54,210,203,10
926,43,9,204,163,10
927,6,8,210,209,10
928,0,0,320,240,10
929,0,49,224,216,10
930,0,9,240,192,10
931,0,49,300,233,10
932,0,60,250,250,10
933,0,0,250,188,10
934,0,32,200,186,10
935,76,14,320,240,10
936,0,0,160,138,10
937,0,0,400,345,10
938,0,0,160,122,10
939,0,33,220,181,10
940,0,35,220,183,10
941,0,25,220,188,10
942,16,4,166,180,10
943,0,0,225,188,10
944,30,12,213,165,10
945,28,4,216,171,10
946,0,0,200,233,10
947,0,30,320,240,10
948,15,13,152,98,10
949,0,34,210,158,10
950,0,6,210,144,10
951,18,11,180,140,10
952,0,0,180,140,10
953,0,3,147,158,10
954,0,0,138,147,10
955,80,0,528,448,10
956,22,28,221,176,10
957,24,40,298,240,10
958,44,0,304,162,10
959,29,4,191,141,10
960,0,0,158,136,10
961,29,25,138,111,10
962,8,13,151,128,10
963,35,0,250,188,10
964,27,11,215,180,10
965,21,32,155,146,10
966,2,0,194,174,10
967,0,0,540,330,10
968,0,19,276,249,10
969,21,40,221,177,10
970,22,41,225,173,10
